priority,id,name,region,address,already_enriched,phone_from_2gis,site_from_2gis,schedule_from_2gis,map_url,google_search,yandex_search,muftyat_search,review_notes
75,70000001105140547,"Ақсу ауданының орталық мешіті, мечеть",Алматы,"улица Желтоксан, 31",no,,,,https://2gis.kz/firm/70000001105140547?m=79.505358%2C45.401221/16,https://www.google.com/search?q=%D0%90%D2%9B%D1%81%D1%83+%D0%B0%D1%83%D0%B4%D0%B0%D0%BD%D1%8B%D0%BD%D1%8B%D2%A3+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96%2C+%D0%BC%D0%B5%D1%87%D0%B5%D1%82%D1%8C+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%96%D0%B5%D0%BB%D1%82%D0%BE%D0%BA%D1%81%D0%B0%D0%BD%2C+31+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://yandex.kz/search/?text=%D0%90%D2%9B%D1%81%D1%83+%D0%B0%D1%83%D0%B4%D0%B0%D0%BD%D1%8B%D0%BD%D1%8B%D2%A3+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96%2C+%D0%BC%D0%B5%D1%87%D0%B5%D1%82%D1%8C+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%96%D0%B5%D0%BB%D1%82%D0%BE%D0%BA%D1%81%D0%B0%D0%BD%2C+31+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://www.muftyat.kz/kk/search/?q=%D0%90%D2%9B%D1%81%D1%83+%D0%B0%D1%83%D0%B4%D0%B0%D0%BD%D1%8B%D0%BD%D1%8B%D2%A3+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96%2C+%D0%BC%D0%B5%D1%87%D0%B5%D1%82%D1%8C+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%96%D0%B5%D0%BB%D1%82%D0%BE%D0%BA%D1%81%D0%B0%D0%BD%2C+31+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,
75,70000001099972932,Ескелді аудандық орталық мешіт,Алматы,"Оразбекова улица, 40",no,,,,https://2gis.kz/firm/70000001099972932?m=78.488152%2C44.910342/16,https://www.google.com/search?q=%D0%95%D1%81%D0%BA%D0%B5%D0%BB%D0%B4%D1%96+%D0%B0%D1%83%D0%B4%D0%B0%D0%BD%D0%B4%D1%8B%D2%9B+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D0%9E%D1%80%D0%B0%D0%B7%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%D0%B0+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+40+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://yandex.kz/search/?text=%D0%95%D1%81%D0%BA%D0%B5%D0%BB%D0%B4%D1%96+%D0%B0%D1%83%D0%B4%D0%B0%D0%BD%D0%B4%D1%8B%D2%9B+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D0%9E%D1%80%D0%B0%D0%B7%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%D0%B0+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+40+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://www.muftyat.kz/kk/search/?q=%D0%95%D1%81%D0%BA%D0%B5%D0%BB%D0%B4%D1%96+%D0%B0%D1%83%D0%B4%D0%B0%D0%BD%D0%B4%D1%8B%D2%9B+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D0%9E%D1%80%D0%B0%D0%B7%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%D0%B0+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+40+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,
75,70000001099076022,Жалқамыс орталық мешіті,Алматы,"Каракул батыра улица, 22а",no,,,,https://2gis.kz/firm/70000001099076022?m=77.15519%2C43.545494/16,https://www.google.com/search?q=%D0%96%D0%B0%D0%BB%D2%9B%D0%B0%D0%BC%D1%8B%D1%81+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D1%83%D0%BB+%D0%B1%D0%B0%D1%82%D1%8B%D1%80%D0%B0+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+22%D0%B0+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://yandex.kz/search/?text=%D0%96%D0%B0%D0%BB%D2%9B%D0%B0%D0%BC%D1%8B%D1%81+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D1%83%D0%BB+%D0%B1%D0%B0%D1%82%D1%8B%D1%80%D0%B0+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+22%D0%B0+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://www.muftyat.kz/kk/search/?q=%D0%96%D0%B0%D0%BB%D2%9B%D0%B0%D0%BC%D1%8B%D1%81+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D1%83%D0%BB+%D0%B1%D0%B0%D1%82%D1%8B%D1%80%D0%B0+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+22%D0%B0+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,
75,70000001075950108,Жаңалық орталық мешіті,Алматы,"улица Сейфуллина, 57",no,,,,https://2gis.kz/firm/70000001075950108?m=77.056772%2C43.58401/16,https://www.google.com/search?q=%D0%96%D0%B0%D2%A3%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B5%D0%B9%D1%84%D1%83%D0%BB%D0%BB%D0%B8%D0%BD%D0%B0%2C+57+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://yandex.kz/search/?text=%D0%96%D0%B0%D2%A3%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B5%D0%B9%D1%84%D1%83%D0%BB%D0%BB%D0%B8%D0%BD%D0%B0%2C+57+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://www.muftyat.kz/kk/search/?q=%D0%96%D0%B0%D2%A3%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B5%D0%B9%D1%84%D1%83%D0%BB%D0%BB%D0%B8%D0%BD%D0%B0%2C+57+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,
75,70000001090624337,Кербулаская районная центральная мечеть,Алматы,"Курмангазы улица, 40а",no,,,,https://2gis.kz/firm/70000001090624337?m=77.971923%2C44.347471/16,https://www.google.com/search?q=%D0%9A%D0%B5%D1%80%D0%B1%D1%83%D0%BB%D0%B0%D1%81%D0%BA%D0%B0%D1%8F+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F+%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BC%D0%B5%D1%87%D0%B5%D1%82%D1%8C+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D0%9A%D1%83%D1%80%D0%BC%D0%B0%D0%BD%D0%B3%D0%B0%D0%B7%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+40%D0%B0+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://yandex.kz/search/?text=%D0%9A%D0%B5%D1%80%D0%B1%D1%83%D0%BB%D0%B0%D1%81%D0%BA%D0%B0%D1%8F+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F+%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BC%D0%B5%D1%87%D0%B5%D1%82%D1%8C+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D0%9A%D1%83%D1%80%D0%BC%D0%B0%D0%BD%D0%B3%D0%B0%D0%B7%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+40%D0%B0+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://www.muftyat.kz/kk/search/?q=%D0%9A%D0%B5%D1%80%D0%B1%D1%83%D0%BB%D0%B0%D1%81%D0%BA%D0%B0%D1%8F+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F+%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BC%D0%B5%D1%87%D0%B5%D1%82%D1%8C+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D0%9A%D1%83%D1%80%D0%BC%D0%B0%D0%BD%D0%B3%D0%B0%D0%B7%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+40%D0%B0+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,
75,70000001109508381,Орталық мешіт,Алматы,"Кабанбай батыра улица, 53",no,,,,https://2gis.kz/firm/70000001109508381?m=77.986536%2C45.253808/16,https://www.google.com/search?q=%D0%9E%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D0%9A%D0%B0%D0%B1%D0%B0%D0%BD%D0%B1%D0%B0%D0%B9+%D0%B1%D0%B0%D1%82%D1%8B%D1%80%D0%B0+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+53+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://yandex.kz/search/?text=%D0%9E%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D0%9A%D0%B0%D0%B1%D0%B0%D0%BD%D0%B1%D0%B0%D0%B9+%D0%B1%D0%B0%D1%82%D1%8B%D1%80%D0%B0+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+53+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://www.muftyat.kz/kk/search/?q=%D0%9E%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D0%9A%D0%B0%D0%B1%D0%B0%D0%BD%D0%B1%D0%B0%D0%B9+%D0%B1%D0%B0%D1%82%D1%8B%D1%80%D0%B0+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+53+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,
75,70000001057074334,Панфилов аудандық орталық мешіті,Алматы,"улица Жансугурова, 147",no,,,,https://2gis.kz/firm/70000001057074334?m=80.008036%2C44.169389/16,https://www.google.com/search?q=%D0%9F%D0%B0%D0%BD%D1%84%D0%B8%D0%BB%D0%BE%D0%B2+%D0%B0%D1%83%D0%B4%D0%B0%D0%BD%D0%B4%D1%8B%D2%9B+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%96%D0%B0%D0%BD%D1%81%D1%83%D0%B3%D1%83%D1%80%D0%BE%D0%B2%D0%B0%2C+147+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://yandex.kz/search/?text=%D0%9F%D0%B0%D0%BD%D1%84%D0%B8%D0%BB%D0%BE%D0%B2+%D0%B0%D1%83%D0%B4%D0%B0%D0%BD%D0%B4%D1%8B%D2%9B+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%96%D0%B0%D0%BD%D1%81%D1%83%D0%B3%D1%83%D1%80%D0%BE%D0%B2%D0%B0%2C+147+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://www.muftyat.kz/kk/search/?q=%D0%9F%D0%B0%D0%BD%D1%84%D0%B8%D0%BB%D0%BE%D0%B2+%D0%B0%D1%83%D0%B4%D0%B0%D0%BD%D0%B4%D1%8B%D2%9B+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%96%D0%B0%D0%BD%D1%81%D1%83%D0%B3%D1%83%D1%80%D0%BE%D0%B2%D0%B0%2C+147+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,
75,70000001079727695,Шелек орталық мешіті,Алматы,"улица Жибек жолы, 38а",no,,,,https://2gis.kz/firm/70000001079727695?m=78.241559%2C43.59901/16,https://www.google.com/search?q=%D0%A8%D0%B5%D0%BB%D0%B5%D0%BA+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%96%D0%B8%D0%B1%D0%B5%D0%BA+%D0%B6%D0%BE%D0%BB%D1%8B%2C+38%D0%B0+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://yandex.kz/search/?text=%D0%A8%D0%B5%D0%BB%D0%B5%D0%BA+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%96%D0%B8%D0%B1%D0%B5%D0%BA+%D0%B6%D0%BE%D0%BB%D1%8B%2C+38%D0%B0+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://www.muftyat.kz/kk/search/?q=%D0%A8%D0%B5%D0%BB%D0%B5%D0%BA+%D0%BE%D1%80%D1%82%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%96%D0%B8%D0%B1%D0%B5%D0%BA+%D0%B6%D0%BE%D0%BB%D1%8B%2C+38%D0%B0+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,
75,70000001044246899,Қаскелен қалалық мешіті,Алматы,"улица Бокина, 85",no,,,,https://2gis.kz/firm/70000001044246899?m=76.609513%2C43.201755/16,https://www.google.com/search?q=%D2%9A%D0%B0%D1%81%D0%BA%D0%B5%D0%BB%D0%B5%D0%BD+%D2%9B%D0%B0%D0%BB%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%91%D0%BE%D0%BA%D0%B8%D0%BD%D0%B0%2C+85+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://yandex.kz/search/?text=%D2%9A%D0%B0%D1%81%D0%BA%D0%B5%D0%BB%D0%B5%D0%BD+%D2%9B%D0%B0%D0%BB%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%91%D0%BE%D0%BA%D0%B8%D0%BD%D0%B0%2C+85+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://www.muftyat.kz/kk/search/?q=%D2%9A%D0%B0%D1%81%D0%BA%D0%B5%D0%BB%D0%B5%D0%BD+%D2%9B%D0%B0%D0%BB%D0%B0%D0%BB%D1%8B%D2%9B+%D0%BC%D0%B5%D1%88%D1%96%D1%82%D1%96+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%91%D0%BE%D0%BA%D0%B8%D0%BD%D0%B0%2C+85+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,
50,70000001037513880,Бейнеуская районная центральная мечеть,Актау,"улица Кашаган, 63",no,,,,https://2gis.kz/firm/70000001037513880?m=55.181739%2C45.318035/16,https://www.google.com/search?q=%D0%91%D0%B5%D0%B9%D0%BD%D0%B5%D1%83%D1%81%D0%BA%D0%B0%D1%8F+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F+%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BC%D0%B5%D1%87%D0%B5%D1%82%D1%8C+%D0%90%D0%BA%D1%82%D0%B0%D1%83+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%9A%D0%B0%D1%88%D0%B0%D0%B3%D0%B0%D0%BD%2C+63+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://yandex.kz/search/?text=%D0%91%D0%B5%D0%B9%D0%BD%D0%B5%D1%83%D1%81%D0%BA%D0%B0%D1%8F+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F+%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BC%D0%B5%D1%87%D0%B5%D1%82%D1%8C+%D0%90%D0%BA%D1%82%D0%B0%D1%83+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%9A%D0%B0%D1%88%D0%B0%D0%B3%D0%B0%D0%BD%2C+63+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,https://www.muftyat.kz/kk/search/?q=%D0%91%D0%B5%D0%B9%D0%BD%D0%B5%D1%83%D1%81%D0%BA%D0%B0%D1%8F+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F+%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BC%D0%B5%D1%87%D0%B5%D1%82%D1%8C+%D0%90%D0%BA%D1%82%D0%B0%D1%83+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%9A%D0%B0%D1%88%D0%B0%D0%B3%D0%B0%D0%BD%2C+63+%D0%BC%D0%B5%D1%88%D1%96%D1%82+%D0%B8%D0%BC%D0%B0%D0%BC+%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD+%D1%80%D0%B5%D1%81%D0%BC%D0%B8,
